SOAZ,2.76485148515,2.60148514851,6.45792079208,256.205445545,404
YellOwStaR,1.53723404255,2.46542553191,8.80585106383,92.0,376
Dyrus,2.31365313653,2.61992619926,6.52767527675,246.018450185,271
Doublelift,4.81268882175,2.45921450151,5.30211480363,306.80060423,331
XPeke,4.19420289855,2.92463768116,5.79710144928,317.710144928,345
Cyanide,2.1867219917,2.63900414938,7.9377593361,118.98340249,241
Xpecial,0.707692307692,2.78153846154,9.20307692308,32.4769230769,325
Nyph,0.707920792079,2.84158415842,8.75742574257,26.198019802,202
Darien,2.585,3.115,6.54,237.955,200
Diamondprox,2.59539473684,2.625,7.66447368421,147.305921053,304
Alex_Ich,4.64206642066,2.88560885609,5.42804428044,307.715867159,271
Genja,3.58685446009,1.64319248826,6.01408450704,283.774647887,213
Edward,1.07749077491,2.83394833948,8.73800738007,33.2472324723,271
NRated,0.828828828829,2.97297297297,8.62612612613,26.6531531532,222
Crumbz,1.93269230769,3.08173076923,6.97115384615,136.735576923,208
Rekkles,4.51071428571,1.62142857143,5.23214285714,333.853571429,280
Wickd,2.23655913978,2.43369175627,6.19713261649,252.967741935,279
Froggen,4.0131147541,2.12459016393,5.35737704918,324.475409836,305
VandeR,0.796296296296,1.81018518519,7.80092592593,37.1388888889,216
Shy,2.88929889299,2.57564575646,5.85239852399,267.136531365,271
MadLife,0.919881305638,2.62017804154,8.64985163205,31.118694362,337
Zzitai,3.45394736842,2.94407894737,6.32894736842,273.480263158,304
Kid,4.17647058824,2.61437908497,6.07189542484,242.026143791,306
watch,2.05118110236,2.5905511811,7.37007874016,126.141732283,254
PraY,4.14726027397,2.16438356164,6.3801369863,304.571917808,292
Bebe,4.76984126984,2.21428571429,5.55555555556,302.146825397,252
ClearLove,3.35195530726,1.82122905028,9.43016759777,129.092178771,358
Ambition,2.83090379009,2.67638483965,6.25072886297,208.886297376,343
Lustboy,0.777292576419,2.81222707424,9.32751091703,26.192139738,229
Darshan,2.94736842105,2.59539473684,4.86513157895,245.654605263,304
DontMashMe,3.90086206897,1.88793103448,5.13362068966,305.439655172,232
Xmithie,2.02973977695,2.73234200743,7.44237918216,145.773234201,269
Aphromoo,0.791366906475,2.77338129496,8.94244604317,29.6474820144,278
Tabzz,4.08,1.995,4.825,311.105,200
inSec,3.06690140845,3.28873239437,7.32746478873,163.105633803,284
Dade,4.61267605634,3.40492957746,6.40492957746,279.862676056,284
DanDy,3.14117647059,2.72058823529,8.56764705882,144.326470588,340
Imp,5.11931818182,2.67329545455,6.43465909091,287.840909091,352
Zero,1.30272108844,3.09863945578,9.22789115646,52.5578231293,294
KaKAO,2.55294117647,2.67647058824,8.05294117647,128.864705882,340
Ryu,3.97570850202,2.48987854251,5.51417004049,278.688259109,247
Score,3.03738317757,2.09968847352,6.98442367601,189.373831776,321
KiWiKiD,1.40154440154,3.1583011583,6.87258687259,83.2239382239,259
Svenskeren,2.45833333333,2.94318181818,7.29545454545,131.696969697,264
Bjergsen,4.73114754098,2.2,5.75081967213,306.855737705,305
